bestVendorBuylist,bestVendorBuylistPrice,countForTrade,date,fair_price,lowestPrice,lowestPriceVendor,name,quantity,setName
StrikeZone,1.0,0,2019-11-04_0154,1.46,1.46,TCG Player,Absorb,0,Ravnica_Allegiance_Foil
ChannelFireball,0.25,0,2019-11-04_0154,0.23,0.23,TCG Player,Amplifire,0,Ravnica_Allegiance_Foil
ChannelFireball,2.0,0,2019-11-04_0154,1.56,1.56,TCG Player,Angel of Grace,0,Ravnica_Allegiance_Foil
Card Kingdom,0.2,0,2019-11-04_0154,0.39,0.39,TCG Player,Angelic Exaltation,0,Ravnica_Allegiance_Foil
ABUGames,0.32,0,2019-11-04_0154,0.96,0.96,TCG Player,Archway Angel,0,Ravnica_Allegiance_Foil
ChannelFireball,0.25,0,2019-11-04_0154,0.31,0.31,TCG Player,Awaken the Erstwhile,0,Ravnica_Allegiance_Foil
ABUGames,0.02,0,2019-11-04_0154,0.12,0.12,TCG Player,Axebane Beast,0,Ravnica_Allegiance_Foil
Card Kingdom,0.13,0,2019-11-04_0154,0.52,0.35,TrollAndToad,Azorius Guildgate,0,Ravnica_Allegiance_Foil
Card Kingdom,0.06,0,2019-11-04_0154,0.22,0.22,TCG Player,Azorius Locket,0,Ravnica_Allegiance_Foil
Card Kingdom,0.45,0,2019-11-04_0154,0.66,0.66,TCG Player,Bankrupt in Blood,0,Ravnica_Allegiance_Foil
Card Kingdom,0.7,0,2019-11-04_0154,1.0,1.0,TCG Player,Basilica Bell-Haunt,0,Ravnica_Allegiance_Foil
StrikeZone,4.0,0,2019-11-04_0154,4.95,4.95,TCG Player,Bedevil,0,Ravnica_Allegiance_Foil
ChannelFireball,1.5,0,2019-11-04_0154,2.23,2.23,TCG Player,Benthic Biomancer,0,Ravnica_Allegiance_Foil
ChannelFireball,4.0,0,2019-11-04_0154,4.71,4.71,TCG Player,Biogenic Ooze,0,Ravnica_Allegiance_Foil
Card Kingdom,0.08,0,2019-11-04_0154,0.41,0.41,TCG Player,Biogenic Upgrade,0,Ravnica_Allegiance_Foil
ABUGames,0.68,0,2019-11-04_0154,1.6800000000000002,1.68,TCG Player,Biomancer's Familiar,0,Ravnica_Allegiance_Foil
StrikeZone,11.0,0,2019-11-04_0154,16.99,16.99,TCG Player,Blood Crypt,0,Ravnica_Allegiance_Foil
ABUGames,0.03,0,2019-11-04_0154,0.15,0.15,TCG Player,Bolrac-Clan Crusher,0,Ravnica_Allegiance_Foil
Card Kingdom,16.5,0,2019-11-04_0154,24.99,24.99,CoolStuff,Breeding Pool,0,Ravnica_Allegiance_Foil
StrikeZone,1.0,0,2019-11-04_0154,1.85,1.85,TCG Player,Captive Audience,0,Ravnica_Allegiance_Foil
TCG Player,3.45,0,2019-11-04_0154,5.69,5.69,TCG Player,Cavalcade of Calamity,0,Ravnica_Allegiance_Foil
