bestVendorBuylist,bestVendorBuylistPrice,countForTrade,date,fair_price,lowestPrice,lowestPriceVendor,name,quantity,setName
Card Kingdom,0.65,0,2019-11-04_0154,0.94,0.94,TCG Player,Absorb,0,Ravnica_Allegiance
ChannelFireball,0.08,0,2019-11-04_0154,0.09,0.09,TCG Player,Amplifire,0,Ravnica_Allegiance
ABUGames,0.35,0,2019-11-04_0154,0.81,0.81,TCG Player,Angel of Grace,0,Ravnica_Allegiance
ABUGames,0.01,0,2019-11-04_0154,0.08,0.08,TCG Player,Angelic Exaltation,0,Ravnica_Allegiance
Card Kingdom,0.05,0,2019-11-04_0154,0.1,0.1,TCG Player,Archway Angel,0,Ravnica_Allegiance
ChannelFireball,0.08,0,2019-11-04_0154,0.13,0.13,TCG Player,Awaken the Erstwhile,0,Ravnica_Allegiance
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Axebane Beast,0,Ravnica_Allegiance
UNDEFINED,0.0,0,2019-11-04_0154,0.16,0.12,Miniature Market,Azorius Guildgate,0,Ravnica_Allegiance
UNDEFINED,0.0,0,2019-11-04_0154,0.06,0.06,TCG Player,Azorius Locket,0,Ravnica_Allegiance
UNDEFINED,0.0,0,2019-11-04_0154,0.06,0.06,TCG Player,Bankrupt in Blood,0,Ravnica_Allegiance
ABUGames,0.05,0,2019-11-04_0154,0.18,0.18,TCG Player,Basilica Bell-Haunt,0,Ravnica_Allegiance
Card Kingdom,2.0,0,2019-11-04_0154,2.95,2.75,Miniature Market,Bedevil,0,Ravnica_Allegiance
Card Kingdom,0.28,0,2019-11-04_0154,0.63,0.5,Miniature Market,Benthic Biomancer,0,Ravnica_Allegiance
TCG Player,1.0,0,2019-11-04_0154,2.39,2.0,Miniature Market,Biogenic Ooze,0,Ravnica_Allegiance
UNDEFINED,0.0,0,2019-11-04_0154,0.1,0.1,TCG Player,Biogenic Upgrade,0,Ravnica_Allegiance
Card Kingdom,0.16,0,2019-11-04_0154,0.5,0.29,StrikeZone,Biomancer's Familiar,0,Ravnica_Allegiance
Card Kingdom,10.5,0,2019-11-04_0154,11.53,8.49,TrollAndToad,Blood Crypt,0,Ravnica_Allegiance
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Bolrac-Clan Crusher,0,Ravnica_Allegiance
Card Kingdom,14.0,0,2019-11-04_0154,18.07,18.07,TCG Player,Breeding Pool,0,Ravnica_Allegiance
Card Kingdom,0.6,0,2019-11-04_0154,0.99,0.75,Miniature Market,Captive Audience,0,Ravnica_Allegiance
CoolStuff,0.75,0,2019-11-04_0154,1.1,0.25,StrikeZone,Cavalcade of Calamity,0,Ravnica_Allegiance
TCG Player,0.35,0,2019-11-04_0154,1.28,0.89,StrikeZone,Cindervines,0,Ravnica_Allegiance
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Clan Guildmage,0,Ravnica_Allegiance
ABUGames,0.01,0,2019-11-04_0154,0.06,0.06,TCG Player,Combine Guildmage,0,Ravnica_Allegiance
UNDEFINED,0.0,0,2019-11-04_0154,0.79,0.12,Miniature Market,Concordia Pegasus,0,Ravnica_Allegiance
