Placing;Card;Qtty
1;Stonecoil Serpent;4
1;Swarm Shambler;4
1;Primal Might;4
1;Lotus Cobra;2
1;Scavenging Ooze;4
1;Ram Through;3
1;Lovestruck Beast;4
1;Yorvo, Lord of Garenbrig;2
1;Kazandu Mammoth;4
1;Gemrazer;4
1;Turntimber Symbiosis;2
1;The Great Henge;2
1;Castle Garenbrig;2
1;Forest;19
2;Edgewall Innkeeper;4
2;Spikefield Hazard;4
2;Primal Might;2
2;Rimrock Knight;4
2;Robber of the Rich;4
2;Scavenging Ooze;3
2;Shatterskull Smashing;3
2;Lovestruck Beast;4
2;Bonecrusher Giant;4
2;Kazandu Mammoth;4
2;Questing Beast;4
2;Embercleave;4
2;Turntimber Symbiosis;3
2;Cragcrown Pathway;4
2;Fabled Passage;2
2;Forest;4
2;Mountain;3
3;Stonecoil Serpent;4
3;Swarm Shambler;4
3;Primal Might;4
3;Lotus Cobra;2
3;Scavenging Ooze;4
3;Ram Through;3
3;Lovestruck Beast;4
3;Yorvo, Lord of Garenbrig;2
3;Kazandu Mammoth;4
3;Gemrazer;4
3;Turntimber Symbiosis;2
3;The Great Henge;2
3;Castle Garenbrig;2
3;Forest;19
3;Spikefield Hazard;4
3;Lotus Cobra;4
3;Bonecrusher Giant;2
3;Dryad of the Ilysian Grove;2
3;Uro, Titan of Nature's Wrath;4
3;Omnath, Locus of Creation;4
3;Felidar Retreat;3
3;Escape to the Wilds;4
3;Ancient Greenwarden;1
3;Genesis Ultimatum;4
3;Branchloft Pathway;1
3;Cragcrown Pathway;4
3;Evolving Wilds;2
3;Fabled Passage;4
3;Forest;5
3;Island;4
3;Ketria Triome;2
3;Mountain;1
3;Plains;1
3;Raugrin Triome;4
5;Gilded Goose;4
5;Primal Might;4
5;Fiend Artisan;1
5;Scavenging Ooze;3
5;Lotus Cobra;4
5;Kazandu Mammoth;4
5;Lovestruck Beast;4
5;Questing Beast;2
5;Garruk, Unleashed;3
5;Elder Gargaroth;3
5;Kogla, the Titan Ape;1
5;Turntimber Symbiosis;4
5;Ugin, the Spirit Dragon;1
5;The Great Henge;3
5;Bonders' Enclave;3
5;Fabled Passage;4
5;Forest;12
5;Spikefield Hazard;4
5;Lotus Cobra;4
5;Bonecrusher Giant;2
5;Uro, Titan of Nature's Wrath;4
5;Dryad of the Ilysian Grove;2
5;Omnath, Locus of Creation;4
5;Felidar Retreat;3
5;Escape to the Wilds;4
5;Ancient Greenwarden;1
5;Genesis Ultimatum;4
5;Branchloft Pathway;1
5;Cragcrown Pathway;4
5;Evolving Wilds;2
5;Fabled Passage;4
5;Forest;5
5;Island;4
5;Ketria Triome;2
5;Mountain;1
5;Plains;1
5;Raugrin Triome;4
5;Spikefield Hazard;2
5;Ilysian Caryatid;3
5;Lotus Cobra;4
5;Uro, Titan of Nature's Wrath;4
5;Cultivate;2
5;Felidar Retreat;4
5;Omnath, Locus of Creation;4
5;Kenrith, the Returned King;2
5;Escape to the Wilds;4
5;Genesis Ultimatum;3
5;Branchloft Pathway;2
5;Cragcrown Pathway;4
5;Evolving Wilds;2
5;Fabled Passage;4
5;Forest;4
5;Island;3
5;Mountain;2
5;Plains;1
5;Raugrin Triome;4
5;Riverglide Pathway;2
5;Bloodchief's Thirst;4
5;Cling to Dust;2
5;Agonizing Remorse;4
5;Heartless Act;3
5;Negate;2
5;Essence Scatter;2
5;Sea Gate Stormcaller;4
5;Neutralize;4
5;Silundi Vision;4
5;Jace, Mirror Mage;4
5;Hagra Mauling;4
5;Ashiok, Nightmare Muse;2
5;Castle Locthwain;1
5;Castle Vantress;1
5;Clearwater Pathway;4
5;Fabled Passage;3
5;Island;4
5;Swamp;4
5;Zagoth Triome;4
