bestVendorBuylist,bestVendorBuylistPrice,countForTrade,date,fair_price,lowestPrice,lowestPriceVendor,name,quantity,setName
StrikeZone,0.5,0,2019-11-04_0154,0.43,0.43,TCG Player,Ajani's Pridemate,0,War_of_the_Spark_Foil
StrikeZone,2.0,0,2019-11-04_0154,1.78,1.78,TCG Player,"Ajani, the Greathearted",0,War_of_the_Spark_Foil
Card Kingdom,1.05,0,2019-11-04_0154,2.77,2.77,TCG Player,Angrath's Rampage,0,War_of_the_Spark_Foil
StrikeZone,0.5,0,2019-11-04_0154,0.85,0.85,TCG Player,"Angrath, Captain of Chaos",0,War_of_the_Spark_Foil
ABUGames,1.32,0,2019-11-04_0154,1.98,1.19,TrollAndToad,Arboreal Grazer,0,War_of_the_Spark_Foil
StrikeZone,0.5,0,2019-11-04_0154,0.84,0.84,TCG Player,"Arlinn, Voice of the Pack",0,War_of_the_Spark_Foil
TCG Player,6.79,0,2019-11-04_0154,10.18,9.99,StrikeZone,"Ashiok, Dream Render",0,War_of_the_Spark_Foil
ChannelFireball,0.1,0,2019-11-04_0154,0.23,0.23,TCG Player,Augur of Bolas,0,War_of_the_Spark_Foil
ChannelFireball,0.25,0,2019-11-04_0154,0.49,0.49,TCG Player,Awakening of Vitu-Ghazi,0,War_of_the_Spark_Foil
ABUGames,0.21,0,2019-11-04_0154,0.32,0.32,TCG Player,Banehound,0,War_of_the_Spark_Foil
StrikeZone,0.33,0,2019-11-04_0154,0.76,0.76,TCG Player,Bioessence Hydra,0,War_of_the_Spark_Foil
TCG Player,9.51,0,2019-11-04_0154,9.99,9.99,TCG Player,Blast Zone,0,War_of_the_Spark_Foil
ABUGames,0.05,0,2019-11-04_0154,0.18,0.18,TCG Player,Bleeding Edge,0,War_of_the_Spark_Foil
CoolStuff,2.5,0,2019-11-04_0154,3.99,3.99,TCG Player,Bolas's Citadel,0,War_of_the_Spark_Foil
Card Kingdom,0.1,0,2019-11-04_0154,0.39,0.39,TCG Player,Bolt Bend,0,War_of_the_Spark_Foil
