bestVendorBuylist,bestVendorBuylistPrice,countForTrade,date,fair_price,lowestPrice,lowestPriceVendor,name,quantity,setName
UNDEFINED,0.0,0,2019-11-04_0154,0.07,0.07,TCG Player,Act of Treason,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.1,0.1,TCG Player,Aerial Assault,0,Core_Set_2020_Foil
Card Kingdom,0.75,0,2019-11-04_0154,3.28,3.28,TCG Player,Aether Gust,0,Core_Set_2020_Foil
CoolStuff,2.5,0,2019-11-04_0154,3.37,3.37,TCG Player,Agent of Treachery,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.08,0.08,TCG Player,Agonizing Syphon,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.08,0.08,TCG Player,Air Elemental,0,Core_Set_2020_Foil
Card Kingdom,3.5,0,2019-11-04_0154,4.99,4.99,TCG Player,"Ajani, Inspiring Leader",0,Core_Set_2020_Foil
Card Kingdom,5.5,0,2019-11-04_0154,6.0,6.0,TCG Player,"Ajani, Strength of the Pride",0,Core_Set_2020_Foil
Card Kingdom,0.6,0,2019-11-04_0154,1.78,1.78,TCG Player,Angel of Vitality,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.06,0.06,TCG Player,Angelic Gift,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.04,0.04,TCG Player,Anvilwrought Raptor,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.17,0.17,TCG Player,Apostle of Purifying Light,0,Core_Set_2020_Foil
ChannelFireball,0.25,0,2019-11-04_0154,0.37,0.37,TCG Player,"Atemsis, All-Seeing",0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.07,0.07,TCG Player,Audacious Thief,0,Core_Set_2020_Foil
CoolStuff,1.0,0,2019-11-04_0154,1.33,1.33,TCG Player,Bag of Holding,0,Core_Set_2020_Foil
Card Kingdom,0.25,0,2019-11-04_0154,0.47,0.25,StrikeZone,Barkhide Troll,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.06,0.06,TCG Player,Barony Vampire,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.08,0.08,TCG Player,Battalion Foot Soldier,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.11,0.11,TCG Player,Befuddle,0,Core_Set_2020_Foil
CoolStuff,0.5,0,2019-11-04_0154,1.0,1.0,TCG Player,Bishop of Wings,0,Core_Set_2020_Foil
Card Kingdom,0.1,0,2019-11-04_0154,0.39,0.25,StrikeZone,Blightbeetle,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.08,0.08,TCG Player,Blood Burglar,0,Core_Set_2020_Foil
Card Kingdom,0.45,0,2019-11-04_0154,1.33,1.33,TCG Player,Blood for Bones,0,Core_Set_2020_Foil
Card Kingdom,0.63,0,2019-11-04_0154,1.27,0.25,StrikeZone,Bloodthirsty Aerialist,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.1,0.1,TCG Player,Bone Splinters,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.06,0.06,TCG Player,Bone to Ash,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.06,0.06,TCG Player,Boneclad Necromancer,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.04,0.04,TCG Player,Boreal Elemental,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.1,0.1,TCG Player,Brightwood Tracker,0,Core_Set_2020_Foil
ChannelFireball,2.0,0,2019-11-04_0154,4.74,4.74,TCG Player,Brineborn Cutthroat,0,Core_Set_2020_Foil
ChannelFireball,1.0,0,2019-11-04_0154,0.99,0.99,TCG Player,Brought Back,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.08,0.08,TCG Player,Captivating Gyre,0,Core_Set_2020_Foil
StrikeZone,4.0,0,2019-11-04_0154,3.47,3.47,TCG Player,Cavalier of Dawn,0,Core_Set_2020_Foil
Card Kingdom,5.0,0,2019-11-04_0154,7.7,7.7,TCG Player,Cavalier of Flame,0,Core_Set_2020_Foil
StrikeZone,4.0,0,2019-11-04_0154,6.0,6.0,TCG Player,Cavalier of Gales,0,Core_Set_2020_Foil
StrikeZone,6.0,0,2019-11-04_0154,8.39,8.39,TCG Player,Cavalier of Night,0,Core_Set_2020_Foil
CoolStuff,5.0,0,2019-11-04_0154,5.7,5.7,TCG Player,Cavalier of Thorns,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.07,0.07,TCG Player,Centaur Courser,0,Core_Set_2020_Foil
CoolStuff,0.5,0,2019-11-04_0154,0.88,0.88,TCG Player,Cerulean Drake,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.0,999999.0,Unknown,Chandra's Flame Wave,0,Core_Set_2020_Foil
ChannelFireball,0.25,0,2019-11-04_0154,0.49,0.49,TCG Player,Chandra's Regulator,0,Core_Set_2020_Foil
TCG Player,0.02,0,2019-11-04_0154,0.49,0.49,TCG Player,Chandra's Spitfire,0,Core_Set_2020_Foil
CoolStuff,6.0,0,2019-11-04_0154,8.07,8.07,TCG Player,"Chandra, Acolyte of Flame",0,Core_Set_2020_Foil
StrikeZone,18.0,0,2019-11-04_0154,24.49,24.49,TCG Player,"Chandra, Awakened Inferno",0,Core_Set_2020_Foil
Card Kingdom,3.5,0,2019-11-04_0154,4.99,4.99,TCG Player,"Chandra, Flame's Fury",0,Core_Set_2020_Foil
Card Kingdom,0.45,0,2019-11-04_0154,1.0,1.0,TCG Player,"Chandra, Novice Pyromancer",0,Core_Set_2020_Foil
Card Kingdom,0.16,0,2019-11-04_0154,0.6900000000000001,0.69,TCG Player,Cloudkin Seer,0,Core_Set_2020_Foil
StrikeZone,3.0,0,2019-11-04_0154,4.74,4.74,TCG Player,Colossus Hammer,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.07,0.07,TCG Player,Convolute,0,Core_Set_2020_Foil
Card Kingdom,0.6,0,2019-11-04_0154,0.94,0.94,TCG Player,Corpse Knight,0,Core_Set_2020_Foil
TCG Player,0.07,0,2019-11-04_0154,0.88,0.88,TCG Player,Creeping Trailblazer,0,Core_Set_2020_Foil
Card Kingdom,0.53,0,2019-11-04_0154,0.88,0.49,StrikeZone,Cryptic Caves,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.1,0.1,TCG Player,Daggersail Aeronaut,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.0,999999.0,Unknown,Dark Remedy,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.86,0.25,StrikeZone,Dawning Angel,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.04,0.04,TCG Player,Daybreak Chaplain,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.1,0.1,TCG Player,Destructive Digger,0,Core_Set_2020_Foil
Card Kingdom,0.45,0,2019-11-04_0154,0.5,0.5,TCG Player,Devout Decree,0,Core_Set_2020_Foil
Card Kingdom,0.16,0,2019-11-04_0154,0.33,0.33,TCG Player,Disfigure,0,Core_Set_2020_Foil
Card Kingdom,0.25,0,2019-11-04_0154,0.39,0.25,StrikeZone,Dismal Backwater,0,Core_Set_2020_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.11,0.11,TCG Player,Diviner's Lockbox,0,Core_Set_2020_Foil
Card Kingdom,0.25,0,2019-11-04_0154,0.21,0.21,TCG Player,Dragon Mage,0,Core_Set_2020_Foil
CoolStuff,1.5,0,2019-11-04_0154,1.45,1.45,TCG Player,"Drakuseth, Maw of Flames",0,Core_Set_2020_Foil
Card Kingdom,1.8,0,2019-11-04_0154,2.78,2.78,TCG Player,Drawn from Dreams,0,Core_Set_2020_Foil
StrikeZone,1.0,0,2019-11-04_0154,2.5,2.5,TCG Player,Dread Presence,0,Core_Set_2020_Foil
ChannelFireball,0.25,0,2019-11-04_0154,0.24,0.24,TCG Player,Dungeon Geists,0,Core_Set_2020_Foil
Card Kingdom,0.16,0,2019-11-04_0154,0.25,0.25,CoolStuff,Duress,0,Core_Set_2020_Foil
