bestVendorBuylist,bestVendorBuylistPrice,countForTrade,date,fair_price,lowestPrice,lowestPriceVendor,name,quantity,setName
UNDEFINED,0.0,0,2019-11-04_0154,0.03,0.03,TCG Player,Act of Treason,0,Core_Set_2020
UNDEFINED,0.0,0,2019-11-04_0154,0.03,0.03,TCG Player,Aerial Assault,0,Core_Set_2020
CoolStuff,0.15,0,2019-11-04_0154,0.35000000000000003,0.35,TCG Player,Aether Gust,0,Core_Set_2020
CoolStuff,1.5,0,2019-11-04_0154,2.05,2.05,TCG Player,Agent of Treachery,0,Core_Set_2020
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Agonizing Syphon,0,Core_Set_2020
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Air Elemental,0,Core_Set_2020
UNDEFINED,0.0,0,2019-11-04_0154,0.0,999999.0,Unknown,"Ajani, Inspiring Leader",0,Core_Set_2020
Card Kingdom,4.2,0,2019-11-04_0154,4.54,4.54,TCG Player,"Ajani, Strength of the Pride",0,Core_Set_2020
Card Kingdom,0.06,0,2019-11-04_0154,0.18,0.18,TCG Player,Angel of Vitality,0,Core_Set_2020
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Angelic Gift,0,Core_Set_2020
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Anvilwrought Raptor,0,Core_Set_2020
UNDEFINED,0.0,0,2019-11-04_0154,0.06,0.06,TCG Player,Apostle of Purifying Light,0,Core_Set_2020
ChannelFireball,0.08,0,2019-11-04_0154,0.13,0.13,TCG Player,"Atemsis, All-Seeing",0,Core_Set_2020
UNDEFINED,0.0,0,2019-11-04_0154,0.02,0.02,TCG Player,Audacious Thief,0,Core_Set_2020
CoolStuff,0.15,0,2019-11-04_0154,0.36,0.33,StrikeZone,Bag of Holding,0,Core_Set_2020
CoolStuff,0.05,0,2019-11-04_0154,0.09,0.09,TCG Player,Barkhide Troll,0,Core_Set_2020
UNDEFINED,0.0,0,2019-11-04_0154,0.04,0.04,TCG Player,Barony Vampire,0,Core_Set_2020
UNDEFINED,0.0,0,2019-11-04_0154,0.04,0.04,TCG Player,Battalion Foot Soldier,0,Core_Set_2020
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Befuddle,0,Core_Set_2020
CoolStuff,0.35,0,2019-11-04_0154,0.48,0.33,StrikeZone,Bishop of Wings,0,Core_Set_2020
UNDEFINED,0.0,0,2019-11-04_0154,0.81,0.2,Miniature Market,Blightbeetle,0,Core_Set_2020
UNDEFINED,0.0,0,2019-11-04_0154,0.04,0.04,TCG Player,Blood Burglar,0,Core_Set_2020
Card Kingdom,0.05,0,2019-11-04_0154,0.25,0.25,StrikeZone,Blood for Bones,0,Core_Set_2020
TCG Player,0.11,0,2019-11-04_0154,0.18,0.18,TCG Player,Bloodthirsty Aerialist,0,Core_Set_2020
UNDEFINED,0.0,0,2019-11-04_0154,0.02,0.02,TCG Player,Bone Splinters,0,Core_Set_2020
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Bone to Ash,0,Core_Set_2020
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Boneclad Necromancer,0,Core_Set_2020
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Boreal Elemental,0,Core_Set_2020
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Brightwood Tracker,0,Core_Set_2020
CoolStuff,0.1,0,2019-11-04_0154,0.32,0.25,StrikeZone,Brineborn Cutthroat,0,Core_Set_2020
Card Kingdom,0.25,0,2019-11-04_0154,0.55,0.33,StrikeZone,Brought Back,0,Core_Set_2020
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Captivating Gyre,0,Core_Set_2020
Card Kingdom,1.75,0,2019-11-04_0154,1.98,0.99,StrikeZone,Cavalier of Dawn,0,Core_Set_2020
CoolStuff,3.5,0,2019-11-04_0154,5.0,4.99,StrikeZone,Cavalier of Flame,0,Core_Set_2020
Card Kingdom,2.7,0,2019-11-04_0154,3.33,2.99,StrikeZone,Cavalier of Gales,0,Core_Set_2020
Card Kingdom,4.5,0,2019-11-04_0154,4.99,4.99,TCG Player,Cavalier of Night,0,Core_Set_2020
TCG Player,3.95,0,2019-11-04_0154,3.62,3.62,TCG Player,Cavalier of Thorns,0,Core_Set_2020
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Centaur Courser,0,Core_Set_2020
CoolStuff,0.15,0,2019-11-04_0154,0.18,0.18,TCG Player,Cerulean Drake,0,Core_Set_2020
Miniature Market,0.15,0,2019-11-04_0154,0.35000000000000003,0.35,TCG Player,Chandra's Flame Wave,0,Core_Set_2020
ChannelFireball,0.1,0,2019-11-04_0154,0.24,0.24,TCG Player,Chandra's Regulator,0,Core_Set_2020
CoolStuff,0.05,0,2019-11-04_0154,0.05,0.05,TCG Player,Chandra's Spitfire,0,Core_Set_2020
CoolStuff,5.0,0,2019-11-04_0154,5.02,5.02,TCG Player,"Chandra, Acolyte of Flame",0,Core_Set_2020
Card Kingdom,9.0,0,2019-11-04_0154,12.99,12.99,TCG Player,"Chandra, Awakened Inferno",0,Core_Set_2020
