bestVendorBuylist,bestVendorBuylistPrice,countForTrade,date,fair_price,lowestPrice,lowestPriceVendor,name,quantity,setName
ABUGames,0.05,0,2019-11-04_0154,0.12,0.12,TCG Player,Affectionate Indrik,0,Guilds_of_Ravnica_Foil
ABUGames,0.03,0,2019-11-04_0154,0.12,0.12,TCG Player,Arboretum Elemental,0,Guilds_of_Ravnica_Foil
Card Kingdom,21.0,0,2019-11-04_0154,29.39,29.39,TCG Player,Arclight Phoenix,0,Guilds_of_Ravnica_Foil
StrikeZone,20.0,0,2019-11-04_0154,32.99,32.99,TCG Player,Assassin's Trophy,0,Guilds_of_Ravnica_Foil
StrikeZone,3.0,0,2019-11-04_0154,4.75,4.75,TCG Player,"Aurelia, Exemplar of Justice",0,Guilds_of_Ravnica_Foil
ABUGames,0.02,0,2019-11-04_0154,0.86,0.19,ABUGames,Barging Sergeant,0,Guilds_of_Ravnica_Foil
ABUGames,0.02,0,2019-11-04_0154,0.88,0.19,ABUGames,Bartizan Bats,0,Guilds_of_Ravnica_Foil
StrikeZone,2.0,0,2019-11-04_0154,3.49,3.49,TCG Player,Beast Whisperer,0,Guilds_of_Ravnica_Foil
ChannelFireball,0.25,0,2019-11-04_0154,0.28,0.28,TCG Player,Blood Operative,0,Guilds_of_Ravnica_Foil
Card Kingdom,0.45,0,2019-11-04_0154,0.68,0.49,ChannelFireball,Boros Guildgate,0,Guilds_of_Ravnica_Foil
Card Kingdom,0.08,0,2019-11-04_0154,0.35000000000000003,0.35,Card Kingdom,Boros Locket,0,Guilds_of_Ravnica_Foil
ABUGames,0.26,0,2019-11-04_0154,0.38,0.38,TCG Player,Bounty Agent,0,Guilds_of_Ravnica_Foil
ABUGames,0.05,0,2019-11-04_0154,0.25,0.25,TCG Player,Bounty of Might,0,Guilds_of_Ravnica_Foil
Card Kingdom,0.16,0,2019-11-04_0154,0.47,0.47,TCG Player,Burglar Rat,0,Guilds_of_Ravnica_Foil
ChannelFireball,0.25,0,2019-11-04_0154,0.64,0.49,Card Kingdom,Camaraderie,0,Guilds_of_Ravnica_Foil
