bestVendorBuylist,bestVendorBuylistPrice,countForTrade,date,fair_price,lowestPrice,lowestPriceVendor,name,quantity,setName
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Affectionate Indrik,0,Guilds_of_Ravnica
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Arboretum Elemental,0,Guilds_of_Ravnica
Card Kingdom,10.5,0,2019-11-04_0154,15.75,13.98,TrollAndToad,Arclight Phoenix,0,Guilds_of_Ravnica
Card Kingdom,15.0,0,2019-11-04_0154,19.99,10.99,TrollAndToad,Assassin's Trophy,0,Guilds_of_Ravnica
Miniature Market,1.5,0,2019-11-04_0154,2.74,2.69,StrikeZone,"Aurelia, Exemplar of Justice",0,Guilds_of_Ravnica
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Barging Sergeant,0,Guilds_of_Ravnica
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Bartizan Bats,0,Guilds_of_Ravnica
StrikeZone,1.0,0,2019-11-04_0154,1.99,1.99,TCG Player,Beast Whisperer,0,Guilds_of_Ravnica
ChannelFireball,0.1,0,2019-11-04_0154,0.04,0.04,TCG Player,Blood Operative,0,Guilds_of_Ravnica
UNDEFINED,0.0,0,2019-11-04_0154,0.18,0.12,Miniature Market,Boros Guildgate,0,Guilds_of_Ravnica
UNDEFINED,0.0,0,2019-11-04_0154,0.02,0.02,TCG Player,Boros Locket,0,Guilds_of_Ravnica
ChannelFireball,0.08,0,2019-11-04_0154,0.18,0.18,TCG Player,Bounty Agent,0,Guilds_of_Ravnica
ChannelFireball,0.08,0,2019-11-04_0154,0.05,0.05,TCG Player,Bounty of Might,0,Guilds_of_Ravnica
Card Kingdom,0.06,0,2019-11-04_0154,0.12,0.12,TCG Player,Burglar Rat,0,Guilds_of_Ravnica
ChannelFireball,0.08,0,2019-11-04_0154,0.18,0.18,TCG Player,Camaraderie,0,Guilds_of_Ravnica
ChannelFireball,0.08,0,2019-11-04_0154,0.19,0.19,TCG Player,Chamber Sentry,0,Guilds_of_Ravnica
CoolStuff,0.75,0,2019-11-04_0154,0.99,0.69,TrollAndToad,Chance for Glory,0,Guilds_of_Ravnica
ChannelFireball,0.1,0,2019-11-04_0154,0.25,0.25,Card Kingdom,Charnel Troll,0,Guilds_of_Ravnica
ChannelFireball,0.05,0,2019-11-04_0154,0.27,0.25,Card Kingdom,Chemister's Insight,0,Guilds_of_Ravnica
UNDEFINED,0.0,0,2019-11-04_0154,0.02,0.02,TCG Player,Child of Night,0,Guilds_of_Ravnica
Card Kingdom,4.7,0,2019-11-04_0154,5.66,5.66,TCG Player,Chromatic Lantern,0,Guilds_of_Ravnica
Miniature Market,0.4,0,2019-11-04_0154,0.94,0.49,StrikeZone,Circuitous Route,0,Guilds_of_Ravnica
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Citywatch Sphinx,0,Guilds_of_Ravnica
Card Kingdom,0.1,0,2019-11-04_0154,0.18,0.18,TCG Player,Citywide Bust,0,Guilds_of_Ravnica
UNDEFINED,0.0,0,2019-11-04_0154,0.07,0.07,TCG Player,Conclave Cavalier,0,Guilds_of_Ravnica
UNDEFINED,0.0,0,2019-11-04_0154,0.04,0.04,TCG Player,Conclave Guildmage,0,Guilds_of_Ravnica
Card Kingdom,0.06,0,2019-11-04_0154,0.17,0.17,TCG Player,Conclave Tribunal,0,Guilds_of_Ravnica
UNDEFINED,0.0,0,2019-11-04_0154,0.03,0.03,TCG Player,Cosmotronic Wave,0,Guilds_of_Ravnica
Card Kingdom,0.06,0,2019-11-04_0154,0.25,0.25,Card Kingdom,Crackling Drake,0,Guilds_of_Ravnica
Card Kingdom,0.08,0,2019-11-04_0154,0.33,0.25,CoolStuff,Creeping Chill,0,Guilds_of_Ravnica
ABUGames,0.05,0,2019-11-04_0154,0.18,0.18,TCG Player,Crush Contraband,0,Guilds_of_Ravnica
StrikeZone,0.5,0,2019-11-04_0154,1.18,1.18,TCG Player,Dawn of Hope,0,Guilds_of_Ravnica
