bestVendorBuylist,bestVendorBuylistPrice,countForTrade,date,fair_price,lowestPrice,lowestPriceVendor,name,quantity,setName
ABUGames,4.67,0,2019-11-04_0154,0.53,0.49,Card Kingdom,Acclaimed Contender,0,Throne_of_Eldraine_Foil
StrikeZone,6.0,0,2019-11-04_0154,8.58,7.99,Card Kingdom,"Alela, Artful Provocateur",0,Throne_of_Eldraine_Foil
Card Kingdom,0.75,0,2019-11-04_0154,1.99,1.99,TCG Player,All That Glitters,0,Throne_of_Eldraine_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.0,999999.0,Unknown,Arcane Signet,0,Throne_of_Eldraine_Foil
ABUGames,0.05,0,2019-11-04_0154,0.18,0.18,TCG Player,Arcanist's Owl,0,Throne_of_Eldraine_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.59,0.25,Card Kingdom,Ardenvale Tactician,0,Throne_of_Eldraine_Foil
TCG Player,0.99,0,2019-11-04_0154,2.28,2.28,TCG Player,"Ayara, First of Locthwain",0,Throne_of_Eldraine_Foil
ABUGames,0.02,0,2019-11-04_0154,0.11,0.11,TCG Player,Bake into a Pie,0,Throne_of_Eldraine_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.0,999999.0,Unknown,Banish into Fable,0,Throne_of_Eldraine_Foil
ABUGames,0.02,0,2019-11-04_0154,0.06,0.06,TCG Player,Barrow Witches,0,Throne_of_Eldraine_Foil
ABUGames,0.02,0,2019-11-04_0154,0.05,0.05,TCG Player,Bartered Cow,0,Throne_of_Eldraine_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.28,0.25,Card Kingdom,Beanstalk Giant,0,Throne_of_Eldraine_Foil
ABUGames,0.05,0,2019-11-04_0154,0.17,0.17,TCG Player,Belle of the Brawl,0,Throne_of_Eldraine_Foil
ABUGames,0.02,0,2019-11-04_0154,0.13,0.13,TCG Player,Beloved Princess,0,Throne_of_Eldraine_Foil
CoolStuff,7.5,0,2019-11-04_0154,1.28,0.99,Card Kingdom,Blacklance Paragon,0,Throne_of_Eldraine_Foil
ABUGames,0.02,0,2019-11-04_0154,0.04,0.04,TCG Player,Blow Your House Down,0,Throne_of_Eldraine_Foil
ABUGames,0.05,0,2019-11-04_0154,0.08,0.08,TCG Player,Bog Naughty,0,Throne_of_Eldraine_Foil
UNDEFINED,0.0,0,2019-11-04_0154,3.44,2.49,StrikeZone,Bonecrusher Giant,0,Throne_of_Eldraine_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.0,999999.0,Unknown,Bramblefort Fink,0,Throne_of_Eldraine_Foil
CoolStuff,10.0,0,2019-11-04_0154,17.93,15.99,StrikeZone,Brazen Borrower,0,Throne_of_Eldraine_Foil
ABUGames,0.03,0,2019-11-04_0154,0.11,0.11,TCG Player,Brimstone Trebuchet,0,Throne_of_Eldraine_Foil
ABUGames,0.05,0,2019-11-04_0154,0.07,0.07,TCG Player,Burning-Yard Trainer,0,Throne_of_Eldraine_Foil
CoolStuff,12.0,0,2019-11-04_0154,1.46,1.46,TCG Player,Castle Ardenvale,0,Throne_of_Eldraine_Foil
CoolStuff,10.0,0,2019-11-04_0154,1.52,1.52,TCG Player,Castle Embereth,0,Throne_of_Eldraine_Foil
CoolStuff,15.0,0,2019-11-04_0154,2.31,2.31,TCG Player,Castle Garenbrig,0,Throne_of_Eldraine_Foil
CoolStuff,15.0,0,2019-11-04_0154,2.33,2.33,TCG Player,Castle Locthwain,0,Throne_of_Eldraine_Foil
CoolStuff,15.0,0,2019-11-04_0154,2.36,2.36,TCG Player,Castle Vantress,0,Throne_of_Eldraine_Foil
ABUGames,0.05,0,2019-11-04_0154,0.04,0.04,TCG Player,Cauldron's Gift,0,Throne_of_Eldraine_Foil
StrikeZone,1.0,0,2019-11-04_0154,0.68,0.68,TCG Player,Cauldron Familiar,0,Throne_of_Eldraine_Foil
CoolStuff,13.0,0,2019-11-04_0154,1.16,1.16,TCG Player,Charming Prince,0,Throne_of_Eldraine_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.0,999999.0,Unknown,Chittering Witch,0,Throne_of_Eldraine_Foil
StrikeZone,6.0,0,2019-11-04_0154,7.19,7.19,TCG Player,"Chulane, Teller of Tales",0,Throne_of_Eldraine_Foil
CoolStuff,7.0,0,2019-11-04_0154,0.75,0.49,Card Kingdom,Clackbridge Troll,0,Throne_of_Eldraine_Foil
ABUGames,0.05,0,2019-11-04_0154,0.33,0.33,TCG Player,Claim the Firstborn,0,Throne_of_Eldraine_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.0,999999.0,Unknown,Command Tower,0,Throne_of_Eldraine_Foil
ABUGames,0.02,0,2019-11-04_0154,0.18,0.18,TCG Player,Corridor Monitor,0,Throne_of_Eldraine_Foil
ABUGames,0.02,0,2019-11-04_0154,0.11,0.11,TCG Player,Crystal Slipper,0,Throne_of_Eldraine_Foil
UNDEFINED,0.0,0,2019-11-04_0154,0.51,0.25,Card Kingdom,Curious Pair,0,Throne_of_Eldraine_Foil
Card Kingdom,0.38,0,2019-11-04_0154,1.03,0.99,StrikeZone,Dance of the Manse,0,Throne_of_Eldraine_Foil
StrikeZone,1.0,0,2019-11-04_0154,1.99,1.99,TCG Player,Deafening Silence,0,Throne_of_Eldraine_Foil
ABUGames,0.05,0,2019-11-04_0154,0.4,0.35,Card Kingdom,Deathless Knight,0,Throne_of_Eldraine_Foil
Card Kingdom,0.06,0,2019-11-04_0154,0.18,0.18,TCG Player,Didn't Say Please,0,Throne_of_Eldraine_Foil
TCG Player,0.37,0,2019-11-04_0154,0.63,0.63,TCG Player,Doom Foretold,0,Throne_of_Eldraine_Foil
ChannelFireball,4.0,0,2019-11-04_0154,6.74,6.74,TCG Player,Drown in the Loch,0,Throne_of_Eldraine_Foil
StrikeZone,0.25,0,2019-11-04_0154,1.12,0.79,StrikeZone,Edgewall Innkeeper,0,Throne_of_Eldraine_Foil
ABUGames,0.05,0,2019-11-04_0154,0.09,0.09,TCG Player,Elite Headhunter,0,Throne_of_Eldraine_Foil
ChannelFireball,12.0,0,2019-11-04_0154,11.0,11.0,TCG Player,Embercleave,0,Throne_of_Eldraine_Foil
ABUGames,0.02,0,2019-11-04_0154,0.04,0.04,TCG Player,Embereth Paladin,0,Throne_of_Eldraine_Foil
