bestVendorBuylist,bestVendorBuylistPrice,countForTrade,date,fair_price,lowestPrice,lowestPriceVendor,name,quantity,setName
Card Kingdom,0.1,0,2019-11-04_0154,0.39,0.33,StrikeZone,Acclaimed Contender,0,Throne_of_Eldraine
Card Kingdom,8.0,0,2019-11-04_0154,7.92,7.92,TCG Player,"Alela, Artful Provocateur",0,Throne_of_Eldraine
Card Kingdom,0.05,0,2019-11-04_0154,0.18,0.18,TCG Player,All That Glitters,0,Throne_of_Eldraine
Card Kingdom,6.4,0,2019-11-04_0154,7.99,7.99,TCG Player,Arcane Signet,0,Throne_of_Eldraine
UNDEFINED,0.0,0,2019-11-04_0154,0.07,0.07,TCG Player,Arcanist's Owl,0,Throne_of_Eldraine
UNDEFINED,0.0,0,2019-11-04_0154,0.16,0.12,Miniature Market,Ardenvale Tactician,0,Throne_of_Eldraine
Card Kingdom,1.0,0,2019-11-04_0154,1.48,0.99,StrikeZone,"Ayara, First of Locthwain",0,Throne_of_Eldraine
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Bake into a Pie,0,Throne_of_Eldraine
ABUGames,0.18,0,2019-11-04_0154,1.03,0.49,StrikeZone,Banish into Fable,0,Throne_of_Eldraine
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Barrow Witches,0,Throne_of_Eldraine
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Bartered Cow,0,Throne_of_Eldraine
Miniature Market,0.05,0,2019-11-04_0154,0.19,0.2,Miniature Market,Beanstalk Giant,0,Throne_of_Eldraine
UNDEFINED,0.0,0,2019-11-04_0154,0.07,0.07,TCG Player,Belle of the Brawl,0,Throne_of_Eldraine
UNDEFINED,0.0,0,2019-11-04_0154,0.03,0.03,TCG Player,Beloved Princess,0,Throne_of_Eldraine
CoolStuff,1.75,0,2019-11-04_0154,0.59,0.33,StrikeZone,Blacklance Paragon,0,Throne_of_Eldraine
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Blow Your House Down,0,Throne_of_Eldraine
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Bog Naughty,0,Throne_of_Eldraine
Card Kingdom,1.7,0,2019-11-04_0154,2.42,2.0,Miniature Market,Bonecrusher Giant,0,Throne_of_Eldraine
ABUGames,0.01,0,2019-11-04_0154,0.09,0.09,TCG Player,Bramblefort Fink,0,Throne_of_Eldraine
Card Kingdom,10.0,0,2019-11-04_0154,14.56,14.99,Card Kingdom,Brazen Borrower,0,Throne_of_Eldraine
UNDEFINED,0.0,0,2019-11-04_0154,0.02,0.02,TCG Player,Brimstone Trebuchet,0,Throne_of_Eldraine
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Burning-Yard Trainer,0,Throne_of_Eldraine
CoolStuff,2.5,0,2019-11-04_0154,0.63,0.63,TCG Player,Castle Ardenvale,0,Throne_of_Eldraine
CoolStuff,2.5,0,2019-11-04_0154,1.21,0.69,StrikeZone,Castle Embereth,0,Throne_of_Eldraine
CoolStuff,5.0,0,2019-11-04_0154,1.73,1.49,StrikeZone,Castle Garenbrig,0,Throne_of_Eldraine
CoolStuff,5.0,0,2019-11-04_0154,1.99,1.99,StrikeZone,Castle Locthwain,0,Throne_of_Eldraine
CoolStuff,5.0,0,2019-11-04_0154,1.63,0.99,StrikeZone,Castle Vantress,0,Throne_of_Eldraine
UNDEFINED,0.0,0,2019-11-04_0154,0.01,0.01,TCG Player,Cauldron's Gift,0,Throne_of_Eldraine
Card Kingdom,0.06,0,2019-11-04_0154,0.30000000000000004,0.25,Card Kingdom,Cauldron Familiar,0,Throne_of_Eldraine
CoolStuff,3.0,0,2019-11-04_0154,0.97,0.33,StrikeZone,Charming Prince,0,Throne_of_Eldraine
StrikeZone,1.5,0,2019-11-04_0154,1.73,1.73,TCG Player,Chittering Witch,0,Throne_of_Eldraine
StrikeZone,7.0,0,2019-11-04_0154,7.41,7.41,TCG Player,"Chulane, Teller of Tales",0,Throne_of_Eldraine
