name,isFoil,Qtty,Bought_price,Current_price,Bought_date
Field of the Dead,True,1,13.25,13.24,2020-03-05
"Golos, Tireless Pilgrim",True,1,9.0,8.54,2020-03-05
Leyline of the Void,False,1,9.0,8.22,2020-03-05
"Oko, Thief of Crowns",False,1,11.9,11.54,2020-03-05
Blood Crypt,True,1,17.98,17.98,2020-03-06
Leyline of the Void,True,1,14.98,14.98,2020-03-07
Overgrown Tomb,False,2,10.485,10.38,2020-03-08
Finale of Devastation,False,1,13.78,13.68,2020-03-07
Fabled Passage,True,1,19.95,19.95,2020-03-07
Lotus Field,True,1,12.57,12.57,2020-03-09
Temple Garden,True,1,12.99,12.99,2020-03-09
Mystical Dispute,True,1,7.14,7.14,2020-03-09
Brazen Borrower,False,1,22.33,22.33,2020-03-09
