name,isFoil,Qtty,Bought_price,Current_price,Bought_date
Leyline of the Void,True,1,11.99,11.99,2020-03-26
Nyxbloom Ancient,False,1,10.73,10.48,2020-03-26
Hydroid Krasis,True,1,25.14,25.14,2020-03-27
Spawn of Mayhem,True,1,9.08,9.08,2020-03-27
Questing Beast,True,1,10.5,10.5,2020-03-27
"Ajani, Strength of the Pride",True,1,14.5,14.5,2020-03-29
Cavalier of Flame,True,1,9.44,9.44,2020-03-29
Cavalier of Night,True,1,7.19,7.19,2020-03-29
Cavalier of Thorns,True,1,10.0,10.0,2020-03-29
"Chandra, Awakened Inferno",True,1,20.88,20.88,2020-03-29
Field of the Dead,True,1,10.49,10.49,2020-03-29
"Yarok, the Desecrated",True,1,16.37,16.37,2020-03-29
"Chandra, Awakened Inferno",False,1,8.38,8.38,2020-03-29
"Korvold, Fae-Cursed King",False,1,7.27,7.27,2020-03-29
