name,isFoil,Qtty,Bought_price,Current_price,Bought_date
"Ajani, Strength of the Pride",True,1,14.5,14.39,2020-03-29
Setessan Champion (Extended Art),True,1,8.42,8.29,2020-03-31
Heliod's Intervention (Extended Art),True,1,12.56,12.56,2020-04-01
Idyllic Tutor (Extended Art),True,1,17.27,17.26,2020-04-01
"Kroxa, Titan of Death's Hunger (Extended Art)",True,1,87.99,87.99,2020-04-01
"Liliana, Dreadhorde General",False,1,10.99,12.5,2020-04-02
"Heliod, Sun-Crowned",True,1,11.2,11.74,2020-04-02
Lotus Field,True,2,11.84,11.83,2020-04-04
"Teferi, Time Raveler",False,1,13.85,13.85,2020-04-03
"Thassa, Deep-Dwelling (Showcase)",True,1,16.49,16.49,2020-04-03
Breeding Pool,False,1,18.5,18.5,2020-04-04
"Niv-Mizzet, Parun",True,1,7.62,7.62,2020-04-04
Divine Visitation,False,1,9.49,9.49,2020-04-04
Temple Garden,False,1,8.35,8.35,2020-04-04
"Uro, Titan of Nature's Wrath",False,1,29.85,29.85,2020-04-04
Fabled Passage,False,1,8.86,8.86,2020-04-04
Questing Beast,False,1,8.3,8.3,2020-04-04
