,bestVendorBuylist,bestVendorBuylistPrice,countForTrade,date,fair_price,lowestPrice,lowestPriceVendor,name,percentageChangeSinceOneWeekAgo,setName
0,ABUGames,4.67,0,2019-11-040154,0.53,0.49,Card Kingdom,Acclaimed Contender,23.25580596923828,Throne_of_Eldraine_Foil
1,StrikeZone,6.0,0,2019-11-040154,8.58,7.99,Card Kingdom,"Alela, Artful Provocateur",-9.493667602539062,Throne_of_Eldraine_Foil
2,Card Kingdom,0.75,0,2019-11-040154,1.99,1.99,TCG Player,All That Glitters,-6.132070064544678,Throne_of_Eldraine_Foil
3,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Alter Fate,,Throne_of_Eldraine_Foil
4,UNDEFINED,0.0,0,2019-11-040154,0.2,0.35,Card Kingdom,Animating Faerie,0.0,Throne_of_Eldraine_Foil
5,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Arcane Signet,,Throne_of_Eldraine_Foil
6,ABUGames,0.05,0,2019-11-040154,0.18,0.18,TCG Player,Arcanist's Owl,125.00001525878906,Throne_of_Eldraine_Foil
7,ABUGames,0.05,0,2019-11-040154,0.23,0.23,TCG Player,Archon of Absolution,9.523815155029297,Throne_of_Eldraine_Foil
8,ABUGames,0.03,0,2019-11-040154,0.1,0.1,TCG Player,Ardenvale Paladin,0.0,Throne_of_Eldraine_Foil
9,UNDEFINED,0.0,0,2019-11-040154,0.59,0.25,Card Kingdom,Ardenvale Tactician,0.0,Throne_of_Eldraine_Foil
10,TCG Player,0.99,0,2019-11-040154,2.28,2.28,TCG Player,"Ayara, First of Locthwain",12.315271377563475,Throne_of_Eldraine_Foil
11,ABUGames,0.02,0,2019-11-040154,0.11,0.11,TCG Player,Bake into a Pie,0.0,Throne_of_Eldraine_Foil
12,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Banish into Fable,,Throne_of_Eldraine_Foil
13,ABUGames,0.05,0,2019-11-040154,0.08,0.08,TCG Player,Barge In,59.99999618530274,Throne_of_Eldraine_Foil
14,ABUGames,0.02,0,2019-11-040154,0.06,0.06,TCG Player,Barrow Witches,0.0,Throne_of_Eldraine_Foil
15,ABUGames,0.02,0,2019-11-040154,0.05,0.05,TCG Player,Bartered Cow,-28.57142639160156,Throne_of_Eldraine_Foil
16,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Battle Display,,Throne_of_Eldraine_Foil
17,UNDEFINED,0.0,0,2019-11-040154,0.28,0.25,Card Kingdom,Beanstalk Giant,0.0,Throne_of_Eldraine_Foil
18,ABUGames,0.05,0,2019-11-040154,0.17,0.17,TCG Player,Belle of the Brawl,13.333329200744627,Throne_of_Eldraine_Foil
19,ABUGames,0.02,0,2019-11-040154,0.13,0.13,TCG Player,Beloved Princess,-7.142861366271973,Throne_of_Eldraine_Foil
